Issue ID,Issue Link,Upstream System,Downstream System,Failure Plane,Data Plane: Properties,Failure Consequence,Fix: Pattern,Fix: Location,Discrepancy pattern type,Data Plane: Abstraction,Data Plane: Involves Data Serialization,Management Plane: Configuration Parameter or Component
SPARK-10122,https://docs.google.com/document/d/1y7JGjPZgMq6dt1JCLektWDBCprs_bAp9-33bvXJ29Uk/edit?usp=sharing,Spark,Kafka,Data,Schema: Structure,Job/task failure,Checking,Code not specific to downstream interaction ,Type Confusion,Stream,No,
SPARK-1111,https://docs.google.com/document/d/1Q1rY9jIU_oHdSkAfd-FBx7b_Z9GvMWJQo4Qfne88Aoo/edit?usp=sharing,Spark,HDFS,Data,Address,Job/task failure,Checking,Code not specific to downstream interaction ,Unsupported Operations,File,No,
SPARK-16605,https://docs.google.com/document/d/17Yzb85u2G6lQ9GYUI8RlswLS1OeQusPkdCcP6tloW7Y/edit?usp=sharing,Spark,Hive,Data,Schema: Structure,Job/task failure,Interaction,Code specific to downstream interaction: Connector ,Unspoken Convention,Table,Yes,
SPARK-17335,https://docs.google.com/document/d/1xYq94F1Q4VtXwaBnSKAco4teKhyptV-9b75F_TyXDbo/edit?usp=sharing,Spark,Hive,Data,Schema: Value,Job/task failure,Interaction,Code not specific to downstream interaction ,Unsupported Operations,Table,Yes,
SPARK-17853,https://docs.google.com/document/d/1wh8eje01agzfjHceYxsXYUb_0FDqKL3ZSildF5Shc1M/edit?usp=sharing,Spark,Kafka,Data,Address,Job/task failure,Others,N.A.,Wrong API Assumptions,Stream,No,
SPARK-18220,https://docs.google.com/document/d/12qHrCfEXNnkn02kF0fggflgXcEo4-XYoIm_1hrgMhk4/edit?usp=sharing,Spark,Hive,Data,Schema: Value,Job/task failure,Interaction,Code specific to downstream interaction: Connector ,Type Confusion,Table,Yes,
SPARK-19308,https://docs.google.com/document/d/1Qat0v3KdV2qUIyp8p70LMGoAlG-0eAO1bUJIQMstMTM/edit?usp=sharing,Spark,Hive,Data,Schema: Structure,Job/task failure,Interaction,Code not specific to downstream interaction ,Unspoken Convention,Table,No,
SPARK-19361,https://docs.google.com/document/d/1UJgDc7qIo7hbhzgyCKLasAnFK4LSSQn7ixSO5-zsuzM/edit?usp=sharing,Spark,Kafka,Data,API semantics,Job/task failure,Interaction,Code specific to downstream interaction: Connector ,Wrong API Assumptions,Stream,No,
SPARK-20911,https://docs.google.com/document/d/1PumRwstmfpK7ZvXZtggUjEq8NDcLhNrmTpzOejuCsks/edit?usp=sharing,Spark,Kafka,Data,API semantics,Job/task failure,Others,N.A.,Wrong API Assumptions,Stream,No,
SPARK-21686,https://docs.google.com/document/d/1yHuXzfDkopM_UlxfKt7zUkLg2lo3XX4xSO7vOPHqRlY/edit?usp=sharing,Spark,Hive,Data,Schema: Structure,Job/task failure,Interaction,Code specific to downstream interaction: Connector ,Unspoken Convention,Table,Yes,
SPARK-22752,https://docs.google.com/document/d/1VnCaKqWKNd2GBHsWvubLC6z-2H4t-8WXPZZP3dkxcrM/edit?usp=sharing,Spark,HDFS,Data,Schema: Value,Job/task failure,Interaction,Code not specific to downstream interaction ,Undefined Values,Stream,No,
SPARK-2569,https://docs.google.com/document/d/1GAxGtnxCkzwBahsL01AQbsSVpKr68tuYf_ki8nZ1Iqc/edit?usp=sharing,Spark,Hive,Data,Address,Job/task failure,Interaction,Code specific to downstream interaction: Connector ,Wrong API Assumptions,Table,No,
SPARK-27239,https://docs.google.com/document/d/11BMVyS71WNeVhsmbTQDCax2kmq92bjG9KObj_6Gz23U/edit?usp=sharing,Spark,HDFS,Data,Custom Property,Job/task failure,Checking,Code not specific to downstream interaction ,Undefined Values,File,No,
SPARK-29234,https://docs.google.com/document/d/1iO2xUY328bXPgEwGtbfbVPyDuUFu6MqmqOZdcRrwZ_I/edit?usp=sharing,Spark,Hive,Data,Schema: Structure,Job/task failure,Checking,Code specific to downstream interaction: Connector ,Unsupported Operations,Table,No,
SPARK-3891,https://docs.google.com/document/d/1uILokexK-bt6Dk7dmaz-PPW_pH8SFIatjaYEAxz4Qbs/edit?usp=sharing,Spark,Hive,Data,Schema: Value,Job/task failure,Interaction,Code specific to downstream interaction: Connector ,Unsupported Operations,Table,No,
SPARK-4908,https://docs.google.com/document/d/1SdUpP-n6l86BDSVYF46WG0zy7uj4KJYYDg11HWl1chc/edit?usp=sharing,Spark,Hive,Control,,Runtime crash/hang,Interaction,Code specific to downstream interaction: Connector ,API Semantics Violation,,,
SPARK-4968,https://docs.google.com/document/d/1KSBnW8c1oD0RFhxhfmHxbIPCfLQra2gUZgA29qY4pWQ/edit?usp=sharing,Spark,Hive,Data,Schema: Value,Job/task failure,Checking,Code not specific to downstream interaction ,Undefined Values,Table,No,
